Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		-5.6862		-13.1183		0.0000		0.0880		0.00050000
1		1.1346		0.6469		0.0000		0.2557		0.00050000
2		0.5845		0.5495		0.0000		0.2772		0.00045477
3		0.5179		0.4970		0.0000		0.3143		0.00040903
4		0.4686		0.4724		0.0000		0.3274		0.00036271
5		0.4400		0.4550		0.0000		0.3270		0.00031572
6		0.4175		0.4334		0.0000		0.3416		0.00026794
7		0.3968		0.4253		0.0000		0.3538		0.00021919
8		0.3764		0.4049		0.0000		0.3568		0.00016919
9		0.3617		0.3897		0.0000		0.3671		0.00011746
10		0.3430		0.3815		0.0000		0.3754		0.00006295
