Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		-121.9926		-291.9453		0.0000		0.0737		0.00050000
2		-542.8712		-908.5671		0.0000		0.0325		0.00049700
3		-1302.9650		-1694.3246		0.0000		0.0146		0.00049400
4		-2431.5422		-2686.6965		0.0000		0.0376		0.00049099
5		-3839.2063		-4770.3696		0.0000		0.0435		0.00048798
6		-5364.2231		-6230.1919		0.0000		0.0436		0.00048497
7		-7049.2012		-7949.9375		0.0000		0.0436		0.00048196
8		-8908.7490		-9817.3604		0.0000		0.0370		0.00047895
9		-10895.4648		-11830.6816		0.0000		0.0255		0.00047593
10		-13043.7100		-14203.8555		0.0000		0.0294		0.00047292
11		-15411.6465		-15993.5791		0.0000		0.0316		0.00046990
12		-17845.1113		-18731.6465		0.0000		0.0299		0.00046688
13		-20480.1680		-21929.1836		0.0000		0.0381		0.00046385
14		-23203.4902		-24918.2188		0.0000		0.0377		0.00046083
15		-26046.1055		-27973.3008		0.0000		0.0309		0.00045780
16		-29005.4707		-31011.2656		0.0000		0.0334		0.00045477
17		-32097.9844		-33961.2734		0.0000		0.0310		0.00045173
18		-35254.9102		-37604.6172		0.0000		0.0276		0.00044870
19		-38505.0273		-41078.1250		0.0000		0.0351		0.00044566
20		-41989.9805		-43608.6758		0.0000		0.0376		0.00044262
21		-45460.8633		-47652.2891		0.0000		0.0336		0.00043958
22		-49079.3906		-50704.0898		0.0000		0.0313		0.00043653
23		-52894.7422		-54248.5820		0.0000		0.0351		0.00043349
24		-56668.6953		-58368.2617		0.0000		0.0301		0.00043044
25		-60563.7461		-62818.7383		0.0000		0.0290		0.00042739
26		-64447.8398		-66574.7656		0.0000		0.0322		0.00042433
27		-68510.5312		-70498.0391		0.0000		0.0330		0.00042128
28		-72750.9922		-73589.7656		0.0000		0.0302		0.00041822
29		-76850.5000		-78438.2891		0.0000		0.0245		0.00041516
30		-81166.8828		-81547.9062		0.0000		0.0297		0.00041209
31		-85641.5781		-88539.9219		0.0000		0.0323		0.00040903
32		-90076.0234		-92263.7891		0.0000		0.0304		0.00040596
33		-94503.5391		-97659.4844		0.0000		0.0315		0.00040289
34		-98955.9141		-102222.5625		0.0000		0.0319		0.00039981
35		-103480.6016		-105858.4531		0.0000		0.0302		0.00039673
36		-108408.6484		-110000.3906		0.0000		0.0326		0.00039366
37		-112976.7656		-116459.1406		0.0000		0.0305		0.00039057
38		-117864.6094		-119066.8828		0.0000		0.0314		0.00038749
39		-122894.3984		-121892.4609		0.0000		0.0251		0.00038440
40		-127824.9531		-126734.5469		0.0000		0.0231		0.00038131
41		-132862.2031		-134141.9688		0.0000		0.0243		0.00037822
42		-137985.7031		-135959.9531		0.0000		0.0251		0.00037512
43		-142991.5312		-143803.9688		0.0000		0.0260		0.00037202
44		-148350.6406		-150652.0781		0.0000		0.0264		0.00036892
45		-153237.7812		-153018.9062		0.0000		0.0266		0.00036582
46		-158551.9531		-158432.1406		0.0000		0.0236		0.00036271
47		-163514.2812		-167777.8281		0.0000		0.0300		0.00035960
1		-122.4444		-276.7877		0.0000		0.1242		0.00050000
2		-516.5219		-820.8080		0.0000		0.0834		0.00045477
3		-1119.0295		-1601.4241		0.0000		0.0412		0.00040903
4		-1903.5773		-1660.0173		0.0000		0.0269		0.00036271
5		-2719.0149		-3330.8992		0.0000		0.0473		0.00031572
6		-3448.7449		-3889.3801		0.0000		0.0474		0.00026794
7		-4091.7607		-4509.7197		0.0000		0.0478		0.00021919
8		-4614.1055		-5025.4702		0.0000		0.0463		0.00016919
9		-5023.7847		-5342.9087		0.0000		0.0481		0.00011746
10		-5277.1348		-5495.9653		0.0000		0.0480		0.00006295
