Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		-5.3967		-12.1579		0.0000		0.0949		0.00050000
2		-22.3032		-32.7983		0.0000		0.0492		0.00045477
3		-47.5895		-60.7518		0.0000		0.0690		0.00040903
4		-79.0899		-100.9200		0.0000		0.0048		0.00036271
5		-117.6743		-134.2685		0.0000		0.0145		0.00031572
6		-153.0111		-161.0611		0.0000		0.0429		0.00026794
7		-183.3782		-198.0302		0.0000		0.0268		0.00021919
8		-208.4359		-221.4545		0.0000		0.0274		0.00016919
9		-227.1681		-241.6918		0.0000		0.0264		0.00011746
10		-239.1604		-239.1701		0.0000		0.0268		0.00006295
